,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31,2027-01-31,2027-02-28,2027-03-31,2027-04-30,2027-05-31,2027-06-30,2027-07-31,2027-08-31,2027-09-30,2027-10-31,2027-11-30,2027-12-31,2028-01-31,2028-02-29,2028-03-31,2028-04-30,2028-05-31,2028-06-30,2028-07-31,2028-08-31,2028-09-30,2028-10-31,2028-11-30,2028-12-31,2029-01-31,2029-02-28,2029-03-31,2029-04-30,2029-05-31,2029-06-30,2029-07-31,2029-08-31,2029-09-30,2029-10-31,2029-11-30,2029-12-31,2030-01-31,2030-02-28,2030-03-31,2030-04-30,2030-05-31,2030-06-30,2030-07-31,2030-08-31,2030-09-30,2030-10-31,2030-11-30,2030-12-31
Potential Gross Revenue,13440.0,26880.0,40320.0,53760.0,67200.0,80640.0,94080.0,107520.0,120960.0,134400.0,147840.0,161280.0,161280.0,170736.0,180192.0,176208.0,174588.0,172968.0,171348.0,169728.0,168108.0,166488.0,168808.0,171128.0,173448.0,166312.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0
Rental Abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Vacancy Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Credit Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expense Reimbursements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effective Gross Income,13440.0,26880.0,40320.0,53760.0,67200.0,80640.0,94080.0,107520.0,120960.0,134400.0,147840.0,161280.0,161280.0,170736.0,180192.0,176208.0,174588.0,172968.0,171348.0,169728.0,168108.0,166488.0,168808.0,171128.0,173448.0,166312.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0
Total Operating Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Operating Income,13440.0,26880.0,40320.0,53760.0,67200.0,80640.0,94080.0,107520.0,120960.0,134400.0,147840.0,161280.0,161280.0,170736.0,180192.0,176208.0,174588.0,172968.0,171348.0,169728.0,168108.0,166488.0,168808.0,171128.0,173448.0,166312.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0,186756.0,186756.0,182816.0,182816.0,182816.0,182816.0,171784.0,170208.0,189120.0,186756.0,186756.0,186756.0,186756.0
Debt Service,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518,-126190.98325635518
Levered Cash Flow,-8352750.983256355,-99310.98325635519,-85870.98325635519,-72430.98325635518,-58990.983256355175,-45550.98325635516,-32110.983256355117,-18670.983256355175,-5230.983256355175,8209.016743644825,21649.016743644825,35089.01674364488,35089.016743644825,44545.016743644825,54001.016743644825,50017.016743644825,48397.016743644825,46777.016743644825,45157.016743644825,43537.016743644825,41917.016743644825,40297.016743644825,42617.016743644825,44937.016743644825,47257.016743644825,40121.016743644825,44017.016743644825,62929.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,56625.016743644825,56625.016743644825,56625.016743644825,56625.016743644825,45593.016743644825,44017.016743644825,62929.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,56625.016743644825,56625.016743644825,56625.016743644825,56625.016743644825,45593.016743644825,44017.016743644825,62929.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,41596915.75674365,56625.016743644825,56625.016743644825,56625.016743644825,45593.016743644825,44017.016743644825,62929.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,56625.016743644825,56625.016743644825,56625.016743644825,56625.016743644825,45593.016743644825,44017.016743644825,62929.016743644825,60565.016743644825,60565.016743644825,60565.016743644825,60565.016743644825
